//大圈
611, 782
630, 737
630, 694
611, 645
645, 612
694, 629
737, 629
786, 612
801, 566
801, 523
801, 480
801, 437
801, 394
782, 349
737, 330
694, 330
645, 349
612, 315
629, 266
629, 223
612, 174
566, 159
523, 159
480, 159
437, 159
394, 159
348, 178
329, 223
329, 266
348, 315
314, 348
265, 331
222, 331
173, 348
158, 394
158, 437
158, 480
158, 523
158, 566
178, 611
223, 630
266, 630
315, 611
348, 645
331, 694
331, 737
348, 786
394, 801
437, 801
480, 801
523, 801
566, 801

//终点区
737, 480
694, 480
645, 480
606, 480
564, 480
522, 480

480, 223
480, 266
480, 315
480, 354
480, 396
480, 438

223, 480
266, 480
315, 480
354, 480
396, 480
438, 480

480, 737
480, 694
480, 645
480, 606
480, 564
480, 522

//启动区
645, 825
//780, 780
745, 815
745, 745
815, 815
815, 745

820, 315
//780, 180
815, 215
745, 215
815, 145
745, 145

314, 140
//180, 180
215, 145
145, 145
215, 215
145, 215

140, 649
//180, 780
145, 745
215, 745
145, 815
215, 946
